"","Method","Parameter","Bias","MSE","Coverage"
"1","Benchmark","mu1","-0.00289029021189502","0.00385310378624415","0.963333333333333"
"2","IPD-AD","mu1","-0.00395849046313729","0.00658560814193556","0.953333333333333"
"3","IPD-AD(pooled)","mu1","-0.00805278841345325","0.00686886374137585","0.963333333333333"
"4","IPD only","mu1","0.0159586281899923","0.00655574532954675","0.966666666666667"
"5","Benchmark","mu2","0.00654312399273926","0.00564539986782552","0.946666666666667"
"6","IPD-AD","mu2","0.00506559523602135","0.0064949257182901","0.95"
"7","IPD-AD(pooled)","mu2","0.00439176660377849","0.00675755273488621","0.943333333333333"
"8","IPD only","mu2","0.0184564914992045","0.00918909037639782","0.963333333333333"
"9","Benchmark","mu3","-0.00218898214210894","0.00461900561430621","0.97"
"10","IPD-AD","mu3","0.0100046666138101","0.00488106447313085","0.976666666666667"
"11","IPD-AD(pooled)","mu3","0.0305894430952429","0.00597542444466726","0.953333333333333"
"12","IPD only","mu3","-0.0856545624121521","0.0164496103605674","0.893333333333333"
"13","Benchmark","mu4","-0.009823117972388","0.0073796406662333","0.96"
"14","IPD-AD","mu4","-0.00832870273072928","0.0102664440294512","0.963333333333333"
"15","IPD-AD(pooled)","mu4","-0.00758907958191823","0.0109881025890888","0.963333333333333"
"16","IPD only","mu4","-0.0279648374354651","0.0111150404477554","0.966666666666667"
