"","Method","Parameter","Bias","MSE","Coverage"
"1","Benchmark","mu1","0.0224141732241524","0.0256160261433415","0.953333333333333"
"2","IPD-AD","mu1","0.0129681064798102","0.0539028459183443","0.94"
"3","IPD-AD(pooled)","mu1","-0.00529108563904601","0.0551501502268581","0.943333333333333"
"4","IPD only","mu1","0.0428177162326552","0.103809967505311","0.986666666666667"
"5","Benchmark","mu2","-0.00885972612019226","0.0253614762090537","0.946666666666667"
"6","IPD-AD","mu2","-0.00824172443347881","0.0394523906184612","0.956666666666667"
"7","IPD-AD(pooled)","mu2","-0.0349621692441053","0.0385483661460607","0.956666666666667"
"8","IPD only","mu2","-0.0142398066732936","0.109082476777173","0.98"
"9","Benchmark","mu3","-0.0123823447225392","0.0248371402441435","0.933333333333333"
"10","IPD-AD","mu3","-0.0174511353697325","0.0251674583855009","0.95"
"11","IPD-AD(pooled)","mu3","-0.0238330805317676","0.0259760661485263","0.946666666666667"
"12","IPD only","mu3","0.00988140954575378","0.0879907842396248","0.993333333333333"
"13","Benchmark","mu4","0.00368316886237269","0.0303673260591889","0.936666666666667"
"14","IPD-AD","mu4","-0.00101819841728526","0.0410193227831948","0.943333333333333"
"15","IPD-AD(pooled)","mu4","-0.00132835722937616","0.0377086252185255","0.94"
"16","IPD only","mu4","-0.0285384186540839","0.115834515457331","0.98"
